Origin_Name,Dest_ID,Dest_Name,EA,AM,MD,PM,EV,Zone
4th and King,2,4th and King,0.00,0.00,0.00,0.00,0.00,1
22nd St,2,4th and King,0.00,15.00,0.00,7.00,2.00,1
Bayshore,2,4th and King,1.00,28.00,2.00,4.00,0.00,1
South San Francisco,2,4th and King,2.00,45.00,9.00,48.00,0.00,1
San Bruno,2,4th and King,23.00,95.00,7.00,43.00,11.00,1
Millbrae,2,4th and King,14.00,265.00,32.00,88.00,9.00,2
Broadway,2,4th and King,0.00,0.00,0.00,0.00,0.00,2
Burlingame,2,4th and King,4.00,186.00,8.00,49.00,29.00,2
San Mateo,2,4th and King,0.00,452.00,34.00,204.00,30.00,2
Hayward Park,2,4th and King,3.00,31.00,10.00,74.00,0.00,2
Hillsdale,2,4th and King,24.00,921.00,30.00,196.00,18.00,2
Belmont,2,4th and King,4.00,86.00,12.00,82.00,13.00,2
San Carlos,2,4th and King,0.00,166.00,12.00,91.00,0.00,2
Redwood City,2,4th and King,43.00,740.00,74.00,267.00,30.00,2
Atherton,2,4th and King,0.00,0.00,0.00,0.00,0.00,3
Menlo Park,2,4th and King,0.00,266.00,40.00,220.00,39.00,3
Palo Alto,2,4th and King,14.00,900.00,142.00,1082.00,93.00,3
California Ave,2,4th and King,10.00,323.00,39.00,194.00,59.00,3
San Antonio,2,4th and King,0.00,204.00,34.00,112.00,21.00,3
Mountain View,2,4th and King,14.00,1250.00,67.00,740.00,61.00,3
Sunnyvale,2,4th and King,0.00,1489.00,53.00,165.00,19.00,3
Lawrence,2,4th and King,0.00,118.00,6.00,45.00,0.00,4
Santa Clara,2,4th and King,0.00,145.00,22.00,44.00,4.00,4
College Park,2,4th and King,0.00,0.00,0.00,0.00,0.00,4
San Jose Diridon,2,4th and King,29.00,1437.00,80.00,277.00,21.00,4
Tamien,2,4th and King,12.00,413.00,1.00,10.00,0.00,4
Capitol,2,4th and King,0.00,0.00,0.00,0.00,0.00,5
Blossom Hill,2,4th and King,0.00,17.00,0.00,0.00,0.00,5
Morgan Hill,2,4th and King,0.00,37.00,0.00,0.00,0.00,5
San Martin,2,4th and King,0.00,0.00,0.00,0.00,0.00,6
Gilroy,2,4th and King,0.00,28.00,0.00,0.00,0.00,6
